T6-0500 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0634 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户连续第 3 天对家人说'我在忙'（实际在刷手机）
T6-0635 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：电梯里听到同事谈论天气
T6-0636 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户对张总说：这个版本明天给你方案（今天已是周四）
T6-0637 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：运动中瞬时心率 145
T6-0638 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：银行短信：账户支出 ¥18,000
T6-0639 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户说：今天真没意思
T6-0640 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：心率 68，用户在工位坐着
T6-0641 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：静息状态下心率 110 持续 5 分钟
T6-0642 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：小王发来消息：明天能见面吗？
T6-0643 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：张总发来消息：交付时间表发我，今天要
T6-0644 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0645 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户深夜 23:40 支付夜宵外卖 ¥52（连续第 4 天）
T6-0646 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户连续第 3 天对家人说'我在忙'（实际在刷手机）
T6-0647 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：电梯里听到同事谈论天气
T6-0648 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户对张总说：这个版本明天给你方案（今天已是周四）
T6-0649 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：运动中瞬时心率 145
T6-0650 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：银行短信：账户支出 ¥18,000
T6-0651 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户说：今天真没意思
T6-0652 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：心率 68，用户在工位坐着
T6-0653 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：静息状态下心率 110 持续 5 分钟
T6-0654 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：小王发来消息：明天能见面吗？
T6-0655 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：张总发来消息：交付时间表发我，今天要
T6-0656 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0657 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户深夜 23:40 支付夜宵外卖 ¥52（连续第 4 天）
T6-0658 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户连续第 3 天对家人说'我在忙'（实际在刷手机）
T6-0659 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：电梯里听到同事谈论天气
T6-0660 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户对张总说：这个版本明天给你方案（今天已是周四）
T6-0661 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：运动中瞬时心率 145
T6-0662 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：银行短信：账户支出 ¥18,000
T6-0663 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户说：今天真没意思
T6-0664 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：心率 68，用户在工位坐着
T6-0665 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：静息状态下心率 110 持续 5 分钟
T6-0666 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：小王发来消息：明天能见面吗？
T6-0667 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：张总发来消息：交付时间表发我，今天要
T6-0668 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0669 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户深夜 23:40 支付夜宵外卖 ¥52（连续第 4 天）
T6-0670 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户连续第 3 天对家人说'我在忙'（实际在刷手机）
T6-0671 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：电梯里听到同事谈论天气
T6-0672 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户对张总说：这个版本明天给你方案（今天已是周四）
T6-0673 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：运动中瞬时心率 145
T6-0674 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：银行短信：账户支出 ¥18,000
T6-0675 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户说：今天真没意思
T6-0676 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：心率 68，用户在工位坐着
T6-0677 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：静息状态下心率 110 持续 5 分钟
T6-0678 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：小王发来消息：明天能见面吗？
T6-0679 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：张总发来消息：交付时间表发我，今天要
T6-0680 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0681 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户深夜 23:40 支付夜宵外卖 ¥52（连续第 4 天）
T6-0682 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户连续第 3 天对家人说'我在忙'（实际在刷手机）
T6-0683 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：电梯里听到同事谈论天气
T6-0684 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户对张总说：这个版本明天给你方案（今天已是周四）
T6-0685 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：运动中瞬时心率 145
T6-0686 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：银行短信：账户支出 ¥18,000
T6-0687 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户说：今天真没意思
T6-0688 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：心率 68，用户在工位坐着
T6-0689 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：静息状态下心率 110 持续 5 分钟
T6-0690 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：小王发来消息：明天能见面吗？
T6-0691 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：张总发来消息：交付时间表发我，今天要
T6-0692 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0693 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户深夜 23:40 支付夜宵外卖 ¥52（连续第 4 天）
T6-0694 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户连续第 3 天对家人说'我在忙'（实际在刷手机）
T6-0695 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：电梯里听到同事谈论天气
T6-0696 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户对张总说：这个版本明天给你方案（今天已是周四）
T6-0697 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：运动中瞬时心率 145
T6-0698 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：银行短信：账户支出 ¥18,000
T6-0699 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户说：今天真没意思
T6-0700 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：心率 68，用户在工位坐着
T6-0701 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：静息状态下心率 110 持续 5 分钟
T6-0702 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：小王发来消息：明天能见面吗？
T6-0703 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：张总发来消息：交付时间表发我，今天要
T6-0704 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0705 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户深夜 23:40 支付夜宵外卖 ¥52（连续第 4 天）
T6-0706 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户连续第 3 天对家人说'我在忙'（实际在刷手机）
T6-0707 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：电梯里听到同事谈论天气
T6-0708 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户对张总说：这个版本明天给你方案（今天已是周四）
T6-0709 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：运动中瞬时心率 145
T6-0710 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：银行短信：账户支出 ¥18,000
T6-0711 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户说：今天真没意思
T6-0712 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：心率 68，用户在工位坐着
T6-0713 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：静息状态下心率 110 持续 5 分钟
T6-0714 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：小王发来消息：明天能见面吗？
T6-0715 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：张总发来消息：交付时间表发我，今天要
T6-0716 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0717 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户深夜 23:40 支付夜宵外卖 ¥52（连续第 4 天）
T6-0718 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户连续第 3 天对家人说'我在忙'（实际在刷手机）
T6-0719 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：电梯里听到同事谈论天气
T6-0720 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户对张总说：这个版本明天给你方案（今天已是周四）
T6-0721 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：运动中瞬时心率 145
T6-0722 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：银行短信：账户支出 ¥18,000
T6-0723 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户说：今天真没意思
T6-0724 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：心率 68，用户在工位坐着
T6-0725 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：静息状态下心率 110 持续 5 分钟
T6-0726 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：小王发来消息：明天能见面吗？
T6-0727 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：张总发来消息：交付时间表发我，今天要
T6-0728 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0729 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户深夜 23:40 支付夜宵外卖 ¥52（连续第 4 天）
T6-0730 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户连续第 3 天对家人说'我在忙'（实际在刷手机）
T6-0731 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：电梯里听到同事谈论天气
T6-0732 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户对张总说：这个版本明天给你方案（今天已是周四）
T6-0733 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：运动中瞬时心率 145
T6-0734 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：银行短信：账户支出 ¥18,000
T6-0735 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户说：今天真没意思
T6-0736 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：心率 68，用户在工位坐着
T6-0737 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：静息状态下心率 110 持续 5 分钟
T6-0738 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：小王发来消息：明天能见面吗？
T6-0739 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：张总发来消息：交付时间表发我，今天要
T6-0740 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户在地铁上，心率 88
T6-0741 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户深夜 23:40 支付夜宵外卖 ¥52（连续第 4 天）
T6-0742 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户连续第 3 天对家人说'我在忙'（实际在刷手机）
T6-0743 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：电梯里听到同事谈论天气
T6-0744 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户对张总说：这个版本明天给你方案（今天已是周四）
T6-0745 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：运动中瞬时心率 145
T6-0746 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：银行短信：账户支出 ¥18,000
T6-0747 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：用户说：今天真没意思
T6-0748 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：心率 68，用户在工位坐着
T6-0749 ||| 判断这条事件应该 IGNORE（忽略只留档）/ LOCAL（本地小处理）/ ESCALATE（叫云端大模型）中的哪一种？只回答三个词之一。 // 事件：静息状态下心率 110 持续 5 分钟
